order_id,payment_type,payment_installments,payment_value
ba78997921bbcdc1373bb41e913ab953,credit_card,8,107.78
f244841f5a461472de8de82f023b1371,credit_card,10,116.05
31be75ffd0c4b58ca777e72cd2352b14,boleto,1,95.99
ae1126b6891f58552443772c80b1f562,credit_card,1,133.81
76b8568803f110a59ece4167463a4a7e,debit_card,1,76.39
d24e8541128cea179a11a65176e0a96f,voucher,1,50.0
24abd231b3f48073eb9bc660b3eea5fd,credit_card,2,38.06
f26bbe1ba1d50321617831285d0fe62c,credit_card,1,42.39
1dfbde97fe9eccbac2db9ab2f3d45a9b,credit_card,6,348.74
33f3e269b872b41e5f90b01a92d454eb,credit_card,3,543.83
4fbf4b4d08900c34f81e01ace9d3f294,boleto,1,64.48
a10e6749400b3ea4a674cec3fd3a9605,credit_card,4,64.0
b8188e1985fbf9e2b94e3a0b64d58074,credit_card,3,86.15
6de0a6791e7af4ed0514498e5100370b,credit_card,4,186.92
262509218257310f675994ae58ffbfa9,boleto,1,49.05
b667484df2bb8bef1e61788f1c7556f5,boleto,1,170.37
e08878ad70acad81d0e90f59e56ce9a6,credit_card,1,84.79
dd6644d86c2b8177a9ae5f51bbf7b82a,boleto,1,167.07
2c9802d8dcf6a98e04bc7dc09cb33c65,boleto,1,63.05
b0a2019225451e417b6cc92baef9fc8c,boleto,1,45.95
ba254174e8ca271319fbd168acd8684d,credit_card,8,126.3
1c37b01cbd381665433fb99fc7705e81,credit_card,1,85.15
4d6dca1dbb561c5c5af9a4c8fbc38375,credit_card,3,245.36
aceb0ac9c2d49926c0eadc1510a3ff53,credit_card,2,164.84
04f1827088d972a62224f5203a071500,credit_card,10,178.06
9c14756d0113f66be55ca07456df3393,voucher,1,1.39
5b97959bc8102d72edcb01bdb5a0e9df,credit_card,2,26.59
d00e79f339bb76a1b6dbcc8cb41934e7,credit_card,10,113.44
8a37cae0305cc1e69d6f5d0629719e9a,credit_card,2,73.27
0f3f49e2316b72f49e23fea6ffaa2371,debit_card,1,24.28
d07eb552f514f38f0107ee31243f8104,boleto,1,76.31
13e46245791ac3c971ba82ef45a1a280,credit_card,3,58.37
fa3cc6b1b48c7b730f6c4c43e423c5aa,credit_card,5,674.92
d98078af880d3b6f9254693dade63983,credit_card,8,289.89
54e21f5480d90336080ff89ec1ba503e,boleto,1,67.14
c063af469224d02e7e9bcb0b1e46583c,voucher,1,20.0
6a1dff28da32815c94da401e19d2a7f8,credit_card,1,40.96
6e50c3286b2f4fef7e6adc496afd5b70,credit_card,2,140.4
536a79f3bcb2ac2163cd5c46695fb573,credit_card,1,69.09
8f89a91120f6ee124abbabe2b1408c2f,credit_card,2,102.64
bcd050a34214fa492826f945e3425650,credit_card,7,367.1
e80158981f299f984453ee1a55275764,credit_card,1,28.4
7249fd69ae42373a6a357567e41ecc57,credit_card,1,110.7
7d8db373393c49a61b22e4688965988e,voucher,1,20.0
ef3845484f82e3b6eed4a579e3c1063d,boleto,1,143.5
af581263488e6e37a5eecc8323943693,boleto,1,1075.23
3c90356d0505af8fad4231e48886ba3e,credit_card,1,68.34
df7c3cca620b20622f4252bd497dcbd4,boleto,1,36.69
4ff1875e3f8c120cfe6cef2ec1aca104,credit_card,4,154.11
a9bbc934d59147ac5d452271a95e4891,voucher,1,184.27
fc66798245e4d173bcc7eb36eb72a278,credit_card,2,179.22
016befe103ce7c9e5b1b7ef359777eea,credit_card,3,60.85
c8da096eda1ac468af162c20d2621512,credit_card,10,285.73
e547c4009f2792489ad11ee1d89d13de,credit_card,4,45.09
fdbaa530778c33afe4b7762457bd8204,credit_card,2,75.65
bdda3ba1c505bc39ff2117e340280a74,credit_card,3,141.67
a427db09dd194740f13a3a2c7bcf38bc,credit_card,1,69.0
8832736e69bda45d9e1c6f5a64e64517,credit_card,4,316.18
7c7730a9be0a2cd5d43285e6e53476d8,credit_card,1,24.08
e5ef5de6da3c56ad874373fb7c10c53c,credit_card,1,24.72
