order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
000f25f4d72195062c040b12dce9a18a,1,1c05e0964302b6cf68ca0d15f326c6ba,7c67e1448b00f6e969d365cea6b010ab,2018-03-21 11:10:11,119.99,44.4
002f98c0f7efd42638ed6100ca699b42,1,d41dc2f2979f52d75d78714b378d4068,7299e27ed73d2ad986de7f7c77d919fa,2017-08-10 09:30:15,8.99,32.57
002f98c0f7efd42638ed6100ca699b42,2,880be32f4db1d9f6e2bec38fb6ac23ab,fa40cc5b934574b62717c68f3d678b6d,2017-08-10 09:30:15,44.9,7.16
00337fe25a3780b3424d9ad7c5a4b35e,1,1f9799a175f50c9fa725984775cac5c5,cfb1a033743668a192316f3c6d1d2671,2017-09-29 17:50:16,59.9,9.94
00337fe25a3780b3424d9ad7c5a4b35e,2,13944d17b257432717fd260e69853140,cfb1a033743668a192316f3c6d1d2671,2017-09-29 17:50:16,59.9,9.94
0036757472ece3dde52fd4bfd929c90e,1,4c1bbc12438daec98a77243c2bf7a3ba,7c67e1448b00f6e969d365cea6b010ab,2018-08-08 15:10:11,136.99,66.04
003d9fc84ad902adf2265248b5ffe1a4,1,3fbc0ef745950c7932d5f2a446189725,06a2c3af7b3aee5d69171b0e14f0ee87,2018-08-22 19:35:22,66.99,27.75
00571ded73b3c061925584feab0db425,1,8695c431b31927efef5343e675f279e7,fe2032dab1a61af8794248c8196565c9,2017-05-25 21:10:16,179.9,15.01
00571ded73b3c061925584feab0db425,2,8695c431b31927efef5343e675f279e7,fe2032dab1a61af8794248c8196565c9,2017-05-25 21:10:16,179.9,15.01
00789ce015e7e5791c7914f32bb4fad4,1,f9d774a1820f792952eea079a40a7c6b,2709af9587499e95e803a6498a5a56e9,2017-07-04 23:43:34,154.0,14.83
007c7cb12ef3567531307ca78d395758,1,15c30c08ae39469fbf52befff9569adb,7e93a43ef30c4f03f38b393420bc753a,2018-02-26 11:47:38,179.0,16.0
008d9bf350ff02ed444b3452cf3f57e0,1,efec0b0b076ce3f164b80145743ebc02,1da3aeb70d7989d1e6d9b0e887f97c23,2018-06-12 09:11:48,9.99,15.23
008d9bf350ff02ed444b3452cf3f57e0,2,efec0b0b076ce3f164b80145743ebc02,1da3aeb70d7989d1e6d9b0e887f97c23,2018-06-12 09:11:48,9.99,15.23
0091a677651feaf5a08d7bb147681e14,1,bf06a69bb27c58156391de458700f3e7,6560211a19b47992c3666cc44a7e94c0,2018-08-28 13:44:42,38.0,7.53
00a379dfab816a83741012b71b264098,1,786248c98cab9ad5cccdb751909da1af,1da3aeb70d7989d1e6d9b0e887f97c23,2018-08-07 20:04:20,15.99,7.39
00a3a334aec7455a6d3319981499a3da,1,0aabfb375647d9738ad0f7b4ea3653b1,37515688008a7a40ac93e3b2e4ab203f,2017-11-01 21:30:14,24.5,11.85
00a9536682ecb394a3794c1608200803,1,24a014458ccc6e989b4fcef5fa71da58,4a3ca9315b744ce9f8e9374361493884,2017-05-18 23:50:08,109.9,12.27
00c4f17dcb94448f27a2cbaa83f10a4b,1,adf591c625cb265c12bc6749d3a2f757,a420f60ff1aa9acc80d0e42959f2b313,2018-06-12 20:31:41,32.0,7.39
00d831d5c3ea03b7cd6f883ad799c7e4,1,eb2d12bc991561d4ca5deff0e60854e4,a416b6a846a11724393025641d4edd5e,2018-03-20 12:48:27,128.9,9.26
00e1bdb3f1388c8ed222597ee4fa01e7,1,c4989935ece6a2e0c0c148ede45f640e,522620dcb18a6b31cd7bdf73665113a9,2017-05-24 04:10:29,419.9,17.69
00fcf938cde49ae138942b632ed62393,1,54d9ac713e253fa1fae9c8003b011c2a,955fee9216a65b617aa5c0531780ce60,2018-01-18 02:38:41,29.5,20.84
01029b44abe6e15c8df48b1b759ab437,1,810e2944bca9850b934e1570ba372e7d,1025f0e2d44d7041d6cf58b6550e0bfa,2018-07-04 00:30:50,78.0,15.85
010fadb12341d8253d920362fc8f7a16,1,8d7ab3701456fdbfe2526636ce15327a,daeb5653dd96c1b11860f72209795012,2018-02-15 17:35:37,39.9,14.1
012248555cb0bf51df99199cef81d562,1,aa8d88eb4b9cb38894e33fa624c4287f,6560211a19b47992c3666cc44a7e94c0,2018-02-07 17:52:56,55.0,15.83
012b3f6ab7776a8ab3443a4ad7bef2e6,1,422879e10f46682990de24d770e7f83d,1f50f920176fa81dab994f9023523100,2018-05-09 21:30:50,53.9,0.0
012b3f6ab7776a8ab3443a4ad7bef2e6,2,422879e10f46682990de24d770e7f83d,1f50f920176fa81dab994f9023523100,2018-05-09 21:30:50,53.9,0.0
01358622f65717728b3b2ec2cf4e8812,1,017692475c1c954ff597feda05131d73,3c7c4a49ec3c6550809089c6a2ca9370,2017-11-02 22:10:14,13.99,7.78
013bc5ce14f856d31efc8bebdc3a278f,1,f2af004352a06a99dca765596240cbc3,f4aba7c0bca51484c30ab7bdc34bcdd1,2017-02-10 19:12:50,23.89,8.72
014ac3cfd0e55bdc2cdd12aa181b00cb,1,8ef8561be5799da29925c5baaf083a13,559d56f3b8f0bc2e5a9a62fe2ce2a39f,2018-08-09 09:30:07,135.0,23.75
