product_id_from,product_id_to,frequency
880be32f4db1d9f6e2bec38fb6ac23ab,d41dc2f2979f52d75d78714b378d4068,2
d41dc2f2979f52d75d78714b378d4068,880be32f4db1d9f6e2bec38fb6ac23ab,2
1f9799a175f50c9fa725984775cac5c5,13944d17b257432717fd260e69853140,2
13944d17b257432717fd260e69853140,1f9799a175f50c9fa725984775cac5c5,2
18692fdc7adb29c885d8cb84eb68a97e,84bc1370758fa98d08afd0180818217a,2
84bc1370758fa98d08afd0180818217a,18692fdc7adb29c885d8cb84eb68a97e,2
078e8db43688ea060cf754e7bd2b92e7,96d1c06692244e2fed6e1f9aa9552770,2
96d1c06692244e2fed6e1f9aa9552770,078e8db43688ea060cf754e7bd2b92e7,2
a8eed0daf7e2db5e074d2d4f65046946,a8f6fefd2f6ad22952337438aa1bfce5,2
a8f6fefd2f6ad22952337438aa1bfce5,a8eed0daf7e2db5e074d2d4f65046946,2
f4f67ccaece962d013a4e1d7dc3a61f7,4fcb3d9a5f4871e8362dfedbdb02b064,6
4fcb3d9a5f4871e8362dfedbdb02b064,f4f67ccaece962d013a4e1d7dc3a61f7,6
f6cdf7aae7f5fb3d67142d5f385ae785,eeea79ffac4403df6e6a7d9522a0ac89,2
eeea79ffac4403df6e6a7d9522a0ac89,f6cdf7aae7f5fb3d67142d5f385ae785,2
93dd9d8291fad4757cf910f1a80eb0ac,1aa2ed670a95e9f475723707a7c3f386,2
1aa2ed670a95e9f475723707a7c3f386,93dd9d8291fad4757cf910f1a80eb0ac,2
306599a052830af3cfebe42ee7a79dde,4b96786612ebe7463132fce2c4dca136,2
4b96786612ebe7463132fce2c4dca136,306599a052830af3cfebe42ee7a79dde,2
08574b074924071f4e201e151b152b4e,98a8c2fa16d7239c606640f5555768e4,2
98a8c2fa16d7239c606640f5555768e4,08574b074924071f4e201e151b152b4e,2
8b51c6ccc9c0548c951214e1cd1547ff,5bd7e57735a44e529bf066fee83a9c60,2
5bd7e57735a44e529bf066fee83a9c60,8b51c6ccc9c0548c951214e1cd1547ff,2
8b51c6ccc9c0548c951214e1cd1547ff,af680b3406a3179e4a4c2051c5384cfd,2
af680b3406a3179e4a4c2051c5384cfd,8b51c6ccc9c0548c951214e1cd1547ff,2
8b51c6ccc9c0548c951214e1cd1547ff,f35013cb05a9538a4428fa6161b2c96b,2
f35013cb05a9538a4428fa6161b2c96b,8b51c6ccc9c0548c951214e1cd1547ff,2
5bd7e57735a44e529bf066fee83a9c60,af680b3406a3179e4a4c2051c5384cfd,2
af680b3406a3179e4a4c2051c5384cfd,5bd7e57735a44e529bf066fee83a9c60,2
5bd7e57735a44e529bf066fee83a9c60,f35013cb05a9538a4428fa6161b2c96b,2
f35013cb05a9538a4428fa6161b2c96b,5bd7e57735a44e529bf066fee83a9c60,2
af680b3406a3179e4a4c2051c5384cfd,f35013cb05a9538a4428fa6161b2c96b,2
f35013cb05a9538a4428fa6161b2c96b,af680b3406a3179e4a4c2051c5384cfd,2
