order_id,customer_id,product_id,price
5ff96c15d0b717ac6ad1f3d77225a350,19402a48fe860416adf93348aba37740,10adb53d8faa890ca7c2f0cbcb68d777,19.9
dcb36b511fcac050b97cd5c05de84dc3,3b6828a50ffe546942b7a473d70ac0fc,009c09f439988bc06a93d6b8186dce73,132.4
1790eea0b567cf50911c057cf20f90f9,52142aa69d8d0e1247ab0cada0f76023,2d8f2be4f08788ee3bf5356af2b2ee6c,186.9
f271576bed568e896f99eb710cd3a6f8,5dda11942d4f77bee3a46d71e442aec4,d457916b4fdc60154ed93b5dd3e6fd69,329.9
f271576bed568e896f99eb710cd3a6f8,5dda11942d4f77bee3a46d71e442aec4,d457916b4fdc60154ed93b5dd3e6fd69,329.9
d3d6788577c9592da441752e8a1dd5e3,8628fac2267e8c8804525da99c10ed0e,7c1bd920dbdf22470b68bde975dd3ccf,58.99
f169bd689fb8b32ccd62df9050aebc0b,82f0b75bb50fcb30711e5277e36b3983,20a8603c265d777e25da064113d556f5,759.0
3923e3ade70348985bd2ca389905cf19,6454e6cba392b35aa21527063026fc92,7bdb28a55646012fb3348058d629d9bc,59.9
90349f264a3d6a2525a34598d09dda6b,d19f254a07da73a055409256e9bfe40a,216bb0e0cd43ffd832e0973d35e0377e,45.0
90349f264a3d6a2525a34598d09dda6b,d19f254a07da73a055409256e9bfe40a,216bb0e0cd43ffd832e0973d35e0377e,45.0
90349f264a3d6a2525a34598d09dda6b,d19f254a07da73a055409256e9bfe40a,216bb0e0cd43ffd832e0973d35e0377e,45.0
90349f264a3d6a2525a34598d09dda6b,d19f254a07da73a055409256e9bfe40a,216bb0e0cd43ffd832e0973d35e0377e,45.0
90349f264a3d6a2525a34598d09dda6b,d19f254a07da73a055409256e9bfe40a,216bb0e0cd43ffd832e0973d35e0377e,45.0
90349f264a3d6a2525a34598d09dda6b,d19f254a07da73a055409256e9bfe40a,216bb0e0cd43ffd832e0973d35e0377e,45.0
258f2e5dd769d9314b349f5650005dcc,148ecba880f508ca2d5b6744b6a7b6c5,5994a2fdff4b0f9ca4376c4226adb442,129.97
c263211bd219538f7c031591e87ef0d7,ed8c52327eecff596e141636d5b556d2,028b0b0277744a9eaa2c4f57c24dcb68,359.7
c263211bd219538f7c031591e87ef0d7,ed8c52327eecff596e141636d5b556d2,028b0b0277744a9eaa2c4f57c24dcb68,359.7
17c2ee64306efa76f1389315a974eeba,79c102ed4db4e20845856cd68660f8f6,704ef63ad0ac345842ea734060a83db2,74.9
d86359a45e3f6c6d8b35f7b13e41abf5,a1acf95041edd043087a040e89449636,a62e25e09e05e6faf31d90c6ec1aa3d1,105.0
884cb4ce4a06390d35206de06f785d13,d19813c8754cc82d0add67df8bd8a38c,0a8f26369822d83b82d0d3e87908fbd4,16.99
